SKU,Brand,Category,Gender,Diameter,Atm,Case_Size,Case_Material,Case_Color,Dial_Color,Strap_Material,Strap_Color,Regular_Price
watch_535,rlafual,Watch,Female,35.0,5.0,Small,Stainless Steel,Gold,Blue,Metal Bracelet,Gold,768.0
watch_536,rlafual,Watch,Female,25.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Two Tone,210.0
watch_537,rlafual,Watch,Female,34.0,3.0,Small,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,210.0
watch_538,rlafual,Watch,Female,34.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,725.0
watch_539,rlafual,Watch,Female,24.0,3.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,768.0
watch_540,rlafual,Watch,Female,24.0,3.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Two Tone,725.0
watch_541,rlafual,Watch,Female,24.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,210.0
watch_542,llijuil,Watch,Female,34.0,3.0,Small,Stainless Steel,Rose Gold,Rose Gold,Leather,Pink,725.0
watch_543,llijuil,Watch,Female,32.0,3.0,Small,Stainless Steel,Gold,Gold,Leather,Green,725.0
watch_544,llijuil,Watch,Female,32.0,3.0,Small,Stainless Steel,Silver,Silver,Leather,White,640.0
watch_545,llijuil,Watch,Female,36.0,3.0,Medium,Stainless Steel,Silver,Rose Gold,Leather,Pink,599.0
watch_546,llijuil,Watch,Female,36.0,3.0,Medium,Stainless Steel,Rose Gold,Blue,Leather,Blue,420.0
watch_547,llijuil,Watch,Female,36.0,3.0,Medium,Stainless Steel,Silver,Black,Leather,Black,380.0
watch_548,llijuil,Watch,Female,38.0,3.0,Medium,Stainless Steel,Rose Gold,Black,Leather,Black,314.0
watch_549,llijuil,Watch,Female,38.0,3.0,Medium,Stainless Steel,Silver,Black,Leather,Black,745.0
watch_550,llijuil,Watch,Female,38.0,3.0,Medium,Stainless Steel,Silver,Beige,Leather,Two Tone,695.0
watch_551,llijuil,Watch,Female,38.0,3.0,Medium,Stainless Steel,Rose Gold,Red,Leather,Red,400.0
watch_552,llijuil,Watch,Female,36.0,3.0,Medium,Stainless Steel,Gold,Black,Leather,Black,899.0
watch_553,llijuil,Watch,Female,35.0,3.0,Small,Stainless Steel,Rose Gold,Rose Gold,Leather,Brown,538.0
watch_554,llijuil,Watch,Female,40.0,3.0,Medium,Stainless Steel,Gold,Gold,Metal Bracelet,White,769.0
watch_555,llijuil,Watch,Female,34.0,3.0,Small,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,769.0
watch_556,llijuil,Watch,Female,34.0,3.0,Small,Stainless Steel,Silver,Rose Gold,Metal Bracelet,Two Tone,290.0
watch_557,llijuil,Watch,Female,34.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,849.0
watch_558,llijuil,Watch,Female,27.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,745.0
watch_559,llijuil,Watch,Female,27.0,3.0,Small,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,255.0
watch_560,llijuil,Watch,Female,34.0,3.0,Small,Stainless Steel,Silver,Rose Gold,Metal Bracelet,Two Tone,215.0
watch_561,llijuil,Watch,Female,32.0,3.0,Small,Stainless Steel,Silver,Blue,Metal Bracelet,Silver,335.0
watch_562,llijuil,Watch,Female,34.0,3.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,255.0
watch_563,llijuil,Watch,Female,34.0,3.0,Small,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,335.0
watch_564,llijuil,Watch,Female,36.0,3.0,Medium,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,195.0
watch_565,llijuil,Watch,Female,34.0,3.0,Small,Stainless Steel,Gold,Beige,Metal Bracelet,Gold,195.0
watch_566,llijuil,Watch,Female,34.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,295.0
watch_567,llijuil,Watch,Female,40.0,3.0,Medium,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,195.0
watch_568,llijuil,Watch,Female,40.0,3.0,Medium,Stainless Steel,Silver,Rose Gold,Metal Bracelet,Two Tone,184.0
watch_569,llijuil,Watch,Female,38.0,3.0,Medium,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,240.0
watch_570,llijuil,Watch,Female,35.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,669.0
watch_571,llijuil,Watch,Female,35.0,3.0,Small,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,769.0
watch_572,llijuil,Watch,Female,35.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,569.0
watch_573,llijuil,Watch,Female,35.0,3.0,Small,Stainless Steel,Gold,Gold,Metal Bracelet,Gold,769.0
watch_574,llijuil,Watch,Female,35.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,899.0
watch_575,llijuil,Watch,Female,40.0,3.0,Medium,Stainless Steel,Silver,White,Metal Bracelet,Silver,595.0
watch_576,atimait,Watch,Male,46.0,10.0,Large,Stainless Steel,Black,Clear,Leather,Black,845.0
watch_577,atimait,Watch,Male,45.0,10.0,Large,Stainless Steel,Rose Gold,Clear,Leather,Black,350.0
watch_578,atimait,Watch,Male,45.0,10.0,Large,Stainless Steel,Silver,Clear,Leather,Black,1699.0
watch_579,atimait,Watch,Male,49.0,10.0,X-Large,Stainless Steel,Rose Gold,Brown,Leather,Black,1299.0
watch_580,atimait,Watch,Male,42.0,10.0,Medium,Stainless Steel,Black,Black,Leather,Black,1299.0
watch_581,atimait,Watch,Male,42.0,10.0,Medium,Stainless Steel,Brown,Brown,Leather,Brown,450.0
watch_582,atimait,Watch,Male,45.0,10.0,Large,Stainless Steel,Rose Gold,Silver,Leather,Black,450.0
watch_583,atimait,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Blue,Leather,Blue,250.0
watch_584,atimait,Watch,Male,43.0,10.0,Large,Stainless Steel,Black,Black,Silicone,Black,590.0
watch_585,atimait,Watch,Male,43.0,10.0,Large,Stainless Steel,Blue,Black,Silicone,Black,590.0
watch_586,atimait,Watch,Male,45.0,10.0,Large,Stainless Steel,Rose Gold,Black,Leather,Black,590.0
watch_587,atimait,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Black,Black,Leather,Black,1369.0
watch_588,atimait,Watch,Male,40.0,5.0,Medium,Stainless Steel,Silver,Silver,Leather,Black,1750.0
watch_589,atimait,Watch,Male,48.0,10.0,X-Large,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,1290.0
watch_590,atimait,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Black,Leather,Beige,1290.0
watch_591,atimait,Watch,Male,42.0,10.0,Medium,Stainless Steel,Black,Brown,Leather,Brown,909.0
watch_592,atimait,Watch,Male,45.0,10.0,Large,Stainless Steel,Black,Black,Leather,Black,640.0
watch_593,atimait,Watch,Male,44.0,5.0,Large,Stainless Steel,Black,Black,Leather,Black,1899.0
